bus_no,route,stop_id,latitude,longitude,order
401,꽃바위-율리,19014,35.47811738,129.409749,1
401,꽃바위-율리,25001,35.47789887,129.4120744,2
401,꽃바위-율리,25003,35.48141082,129.4158409,3
401,꽃바위-율리,25005,35.48350086,129.4188516,4
401,꽃바위-율리,25011,35.48530999,129.4228531,5
401,꽃바위-율리,25007,35.48584101,129.4243298,6
401,꽃바위-율리,25009,35.48786879,129.425855,7
401,꽃바위-율리,24236,35.4915373,129.4264076,8
401,꽃바위-율리,24234,35.49774379,129.4280135,9
401,꽃바위-율리,24232,35.50149907,129.4289678,10
401,꽃바위-율리,24230,35.50518078,129.4297793,11
401,꽃바위-율리,24228,35.50797166,129.4302088,12
401,꽃바위-율리,24226,35.51160565,129.4307712,13
401,꽃바위-율리,24224,35.51593469,129.432486,14
401,꽃바위-율리,24222,35.51785655,129.4319377,15
401,꽃바위-율리,24220,35.52107585,129.4321038,16
401,꽃바위-율리,24218,35.52436731,129.4331544,17
401,꽃바위-율리,24216,35.52793333,129.433302,18
401,꽃바위-율리,24214,35.53294973,129.432637,19
401,꽃바위-율리,24212,35.53585991,129.4302157,20
401,꽃바위-율리,24210,35.53952615,129.4257231,21
401,꽃바위-율리,24208,35.5391062,129.4207982,22
401,꽃바위-율리,24206,35.53730278,129.418572,23
401,꽃바위-율리,24258,35.53339686,129.4130297,24
401,꽃바위-율리,24204,35.53038114,129.4093103,25
401,꽃바위-율리,30634,35.52578197,129.3991887,26
401,꽃바위-율리,30632,35.52873347,129.3962633,27
401,꽃바위-율리,30630,35.53109834,129.3931102,28
401,꽃바위-율리,30628,35.53618443,129.3888361,29
401,꽃바위-율리,30626,35.54024134,129.3863216,30
401,꽃바위-율리,30624,35.54446706,129.3847909,31
401,꽃바위-율리,30622,35.5507663,129.3827088,32
401,꽃바위-율리,30620,35.55431723,129.3809364,33
401,꽃바위-율리,30618,35.55694153,129.3792578,34
401,꽃바위-율리,30616,35.55967449,129.37559,35
401,꽃바위-율리,30614,35.56041833,129.3726582,36
401,꽃바위-율리,30612,35.56100659,129.3680976,37
401,꽃바위-율리,40337,35.56009238,129.3613719,38
401,꽃바위-율리,40339,35.55588598,129.3602307,39
401,꽃바위-율리,40341,35.55122038,129.3584221,40
401,꽃바위-율리,40343,35.54174421,129.3534657,41
401,꽃바위-율리,40428,35.53998959,129.3483969,42
