addr,clCd,clCdNm,drTotCnt,estbDd,gdrCnt,hospUrl,intnCnt,postNo,resdntCnt,sdrCnt,sgguCd,sgguCdNm,sidoCd,sidoCdNm,telno,XPos,YPos,yadmNm,ykiho
울산광역시 동구 방어진순환도로 877 울산대학교병원 (전하동),01,상급종합,358,19870701,6,http://www.uuh.ulsan.kr/main/main.asp,26,44033,91,235,260002,울산동구,260000,울산,052-250-7000,129.4289116,35.5200702,학교법인 울산공업학원 울산대학교병원,JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE4MzIjNDEjJDEjJDgjJDgz
울산광역시 울주군 삼남면 중평로 53 (),11,종합병원,23,20070201,1,http://eunyang.imc-boram.co.kr/,0,44948,0,22,260100,울산울주군,260000,울산,052-255-7114,129.1207349,35.5600045,서울산보람병원,JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEwMDIjNDEjJDEjJDgjJDgz
울산광역시 북구 호계로 285 (호계동),11,종합병원,15,20020902,0,,0,44228,0,15,260004,울산북구,260000,울산,052-290-2100,129.3506003,35.6289468,울산엘리야병원,JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQ0NjEwMDIjNDEjJDEjJDQjJDgz
울산광역시 중구 태화로 239 (태화동),11,종합병원,101,19810622,3,http://www.dkmc.or.kr,2,44455,4,92,260003,울산중구,260000,울산,052-241-1114,129.3020785,35.5534480,의료법인 동강의료재단 동강병원,JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjE0ODEjODEjJDEjJDIjJDgz
"울산광역시 중구 외솔큰길 215 (남외동, 동천동강병원)",11,종합병원,22,20160531,0,,0,44495,0,22,260003,울산중구,260000,울산,052-702-3114,129.3504382,35.5685360,의료법인 동강의료재단 동천동강병원,JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQzNjE0ODEjODEjJDEjJDYjJDgz
울산광역시 북구 산업로 1007 (연암동),11,종합병원,33,20140804,2,,0,44238,0,31,260004,울산북구,260000,울산,052-280-9000,129.3590343,35.5828446,의료법인 송은의료재단 울산시티병원,JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQ0NjEwMDIjNTEjJDEjJDIjJDgz
울산광역시 남구 북부순환도로 51 (무거동),11,종합병원,30,20140602,2,,0,44629,0,28,260001,울산남구,260000,울산,052-220-7500,129.2688243,35.5528955,의료법인 은성의료재단 좋은삼정병원,JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQ0NjE0ODEjNjEjJDEjJDAjJDgz
울산광역시 남구 문수로480번길 10 (신정동),11,종합병원,38,20150409,3,,0,44667,0,35,260001,울산남구,260000,울산,052-226-1100,129.3052035,35.5315232,의료법인 정안의료재단 중앙병원,JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjEyMjIjNTEjJDEjJDIjJDgz
울산광역시 남구 월평로171번길 13 (신정동),11,종합병원,43,19950821,1,http://www.ush.kr,0,44686,0,42,260001,울산남구,260000,울산,052-259-5000,129.3231103,35.5462649,의료법인혜명심의료재단 울산병원,JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjEyMjIjNDEjJDEjJDgjJDgz
울산광역시 남구 남산로354번길 26 (신정동),21,병원,10,20000101,1,http://www.ujh.co.kr,0,44623,0,9,260001,울산남구,260000,울산,052-220-3300,129.3070130,35.5482830,(의) 내경의료재단 울산제일병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ5MiQzNjE4MzIjNDEjJDEjJDgjJDgz
울산광역시 남구 화합로 107 (달동),21,병원,7,20060216,0,http://www.motherth.co.kr/,0,44720,0,7,260001,울산남구,260000,울산,052-270-7000,129.3405000,35.5344000,(의)고담의료재단마더스병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQwMyQ0NjEwMDIjNDEjJDEjJDgjJDgz
울산광역시 남구 돋질로336번길 10 (삼산동),21,병원,22,19970422,0,http://ulsan.imc-boram.co.kr/,0,44713,0,22,260001,울산남구,260000,울산,052-278-0114,129.3410075,35.5425577,(의)인석의료재단 보람병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQyIyQ3IyQwMCQzNjE4MzIjNTEjJDEjJDIjJDgz
울산광역시 남구 삼산로 110 (달동),21,병원,20,20010918,1,,0,44722,0,19,260001,울산남구,260000,울산,052-259-9000,129.3197750,35.5350000,굿모닝병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ3OSQzNjE0ODEjNTEjJDEjJDIjJDgz
울산광역시 중구 남외2길 36 (남외동),21,병원,9,20110324,0,,0,44495,0,9,260003,울산중구,260000,울산,052-290-6000,129.3509421,35.5666963,맘스여성병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ3MiQ0NjE0ODEjNDEjJDEjJDgjJDgz
울산광역시 동구 방어진순환도로 1162 (서부동),21,병원,3,20110503,0,,0,44010,0,3,260002,울산동구,260000,울산,052-235-5533,129.4217917,35.5398165,미래아동병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ5OSQzNjE4MzIjNjEjJDEjJDAjJDgz
울산광역시 중구 학성로 118 1~6층 (옥교동),21,병원,3,20120302,0,,0,44531,0,3,260003,울산중구,260000,울산,052-227-7511,129.3238783,35.5555862,사람이소중한병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ2MiQ0NjE0ODEjNzEjJDEjJDgjJDgz
"울산광역시 남구 북부순환도로 25 지하1,2~6층 (무거동)",21,병원,3,20150924,0,,0,44629,0,3,260001,울산남구,260000,울산,052-922-1100,129.2661807,35.5524703,서울아동병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ3OSQzNjE0ODEjNDEjJDEjJDgjJDgz
"울산광역시 북구 괴정1길 114 2,3,4,5층 (매곡동)",21,병원,4,20190508,0,,0,44223,0,4,260004,울산북구,260000,울산,052-716-5170,129.3574932,35.6425369,아이마음아동병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ4MiQyNjEyMjIjODEjJDEjJDYjJDgz
"울산광역시 중구 번영로 371 3,6,7,12층 (학산동)",21,병원,4,20161231,1,,0,44530,0,3,260003,울산중구,260000,울산,052-291-0087,,,아이윤병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQwMyQyNjEwMDIjNjEjJDEjJDQjJDgz
울산광역시 남구 중앙로167번길 26 (신정동),21,병원,10,20021230,0,www.hmhospital.com,0,44676,0,10,260001,울산남구,260000,울산,052-267-0075,129.3110064,35.5355076,에이치엠병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ5OSQzNjE0ODEjNzEjJDEjJDgjJDgz
"울산광역시 울주군 온양읍 화산발리로 742-15 온양우리아동병원 지1,지2,2~5층",21,병원,0,20180709,0,,0,44980,0,0,260100,울산울주군,260000,울산,052-968-1365,129.2900434,35.4070998,온양우리아동병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ2MiQzNjEyMjIjNzEjJDEjJDgjJDgz
울산광역시 울주군 언양읍 헌양길 175 (),21,병원,1,20160105,1,,0,44945,0,0,260100,울산울주군,260000,울산,052-716-1365,129.1169684,35.5670660,우리병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ3OSQ0NjE0ODEjNjEjJDEjJDAjJDgz
울산광역시 남구 중앙로 228 2~10층 (신정동),21,병원,11,20080703,0,http://www.bestweare.com,0,44690,0,11,260001,울산남구,260000,울산,052-706-1111,129.3120313,35.5412877,울들병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ3MiQzNjE0ODEjNjEjJDEjJDQjJDgz
울산광역시 중구 화합로 363 (반구동),21,병원,4,20120420,0,,0,44513,0,4,260003,울산중구,260000,울산,052-290-7100,129.3407140,35.5583544,울산H병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ3MiQyNjEyMjIjNjEjJDEjJDQjJDgz
울산광역시 남구 남산로 2 (무거동),21,병원,9,20110801,0,http://www.ulsanmizhospital.co.kr/,0,44628,0,9,260001,울산남구,260000,울산,052-220-0100,129.2709080,35.5523152,울산미즈병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQyIyQ5IyQwMCQzNjE0ODEjNzEjJDEjJDgjJDgz
울산광역시 북구 호계로 332-1 (신천동),21,병원,3,20150101,0,,0,44224,0,3,260004,울산북구,260000,울산,052-282-7171,129.3498979,35.6328933,울산아동병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQxMyQzNjEyMjIjNzEjJDEjJDgjJDgz
"울산광역시 남구 번영로 195 2층 (신정동, 동문아뮤티)",21,병원,5,20100121,0,http://www.ulsanwoori.com,0,44687,0,5,260001,울산남구,260000,울산,052-220-8000,129.3252804,35.5424902,울산우리병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQxMyQyNjEyMjIjODEjJDEjJDIjJDgz
"울산광역시 남구 삼산로 274 15층 (삼산동, W-CENTER)",21,병원,2,20161205,0,,0,44719,0,2,260001,울산남구,260000,울산,052-266-2975,129.3371409,35.5389443,울산청맥외과병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ5OSQ0NjE0ODEjODEjJDEjJDYjJDgz
울산광역시 남구 남중로 123 (삼산동),21,병원,6,20150817,0,,0,44710,0,6,260001,울산남구,260000,울산,052-915-8000,129.3480072,35.5454856,위드여성병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ3OSQyNjE4MzIjNTEjJDEjJDYjJDgz
울산광역시 중구 장춘로 169 (학산동),21,병원,2,20051128,0,,0,44469,0,2,260003,울산중구,260000,울산,052-210-0100,129.3267765,35.5589804,유성병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ5MiQ0NjE0ODEjNjEjJDEjJDgjJDgz
울산광역시 울주군 상북면 석남로 900 (),21,병원,3,20170609,1,,0,44901,0,2,260100,울산울주군,260000,울산,052-263-0070,129.0735147,35.6114419,의료법인 명원의료재단 파인힐병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzMxIyQyIyQzIyQwMCQyNjEyMjIjNzEjJDEjJDgjJDgz
울산광역시 북구 산업로 1001 (연암동),21,병원,5,20160826,1,http://www.cityhospital.co.kr/,0,44238,0,4,260004,울산북구,260000,울산,052-280-8000,129.3592838,35.5819111,의료법인 송은의료재단 울산시티e병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjEwMDIjNTEjJDEjJDIjJDgz
울산광역시 남구 돋질로 80 (달동),21,병원,2,20061212,0,,0,44691,0,2,260001,울산남구,260000,울산,052-241-3114,129.3146046,35.5382803,의료법인동원의료재단강남동강병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ3OSQyNjEwMDIjNjEjJDEjJDAjJDgz
울산광역시 중구 학성로 184 (학성동),21,병원,10,20060420,2,,0,44521,0,8,260003,울산중구,260000,울산,052-292-2000,129.3309774,35.5566093,의료법인에스엠씨의료재단울산세민병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ2MiQzNjE0ODEjNDEjJDEjJDgjJDgz
울산광역시 남구 삼산중로 94 (삼산동),21,병원,16,19930621,0,http://www.fraumedi.com,0,44705,0,16,260001,울산남구,260000,울산,052-226-7114,129.3359246,35.5418919,의료법인정우의료재단프라우메디병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQxIyQzIyQwMyQzNjE4MzIjNTEjJDEjJDIjJDgz
울산광역시 남구 번영로 160 (달동),21,병원,18,20190902,3,,0,44703,0,15,260001,울산남구,260000,울산,052-274-2009,129.3276025,35.5394876,제니스병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ4MiQzNjE4MzIjNDEjJDEjJDQjJDgz
울산광역시 북구 아진로 31 5~8층 (상안동),21,병원,2,20210311,0,,0,44209,0,2,260004,울산북구,260000,울산,052-700-7007,,,좋은아이병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQwMyQyNjE4MzIjNDEjJDEjJDgjJDgz
"울산광역시 남구 삼산로 213 웰빙메디타워 2~7, 10층 (달동)",21,병원,3,20190530,0,,0,44703,0,3,260001,울산남구,260000,울산,052-276-3500,129.3304127,35.5383306,좋은의사들안과병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ4MiQyNjE4MzIjNzEjJDEjJDgjJDgz
울산광역시 남구 삼산로 161 (달동),21,병원,3,20050623,0,http://www.jaforyou.co.kr/,0,44695,0,3,260001,울산남구,260000,울산,052-257-6565,129.3248490,35.5370892,중앙학문병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ4MiQzNjE4MzIjNDEjJDEjJDgjJDgz
"울산광역시 남구 삼산로 247 2,10,11,12층 (달동)",21,병원,7,20151021,0,http://chambarun.kr/,0,44707,0,7,260001,울산남구,260000,울산,1544-7544,129.3341147,35.5391017,참바른병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ3OSQzNjEyMjIjODEjJDEjJDIjJDgz
