tm,rnum,stnId,stnNm,ta,taQcflg,rn,rnQcflg,ws,wsQcflg,wd,wdQcflg,hm,hmQcflg,pv,td,pa,paQcflg,ps,psQcflg,ss,ssQcflg,icsr,dsnw,hr3Fhsc,dc10Tca,dc10LmcsCa,clfmAbbrCd,lcsCh,vs,gndSttCd,dmstMtphNo,ts,tsQcflg,m005Te,m01Te,m02Te,m03Te
2020-01-01 00:00,1,152,울산,-2.7,,,,2.3,,360,,23,,1.1,-21.0,1019.7,,1030.4,,,9,,,,0,0,,,2000,,,-4.0,,,,,
2020-01-01 01:00,2,152,울산,-3.3,,,,2.2,,320,,25,,1.2,-20.5,1019.7,,1030.5,,,9,,,,0,0,,,2000,,,-4.3,,,,,
2020-01-01 02:00,3,152,울산,-3.6,,,,3.0,,320,,25,,1.2,-20.8,1019.6,,1030.4,,,9,,,,0,0,,,2000,,,-4.4,,,,,
2020-01-01 03:00,4,152,울산,-3.3,,,,2.4,,320,,33,,1.6,-17.3,1019.4,,1030.2,,,9,,,,0,0,,,2000,,,-4.1,,,,,
2020-01-01 04:00,5,152,울산,-3.1,,,,1.3,,320,,45,,2.2,-13.3,1019.0,,1029.7,,,9,,,,0,0,,,2000,,,-4.0,,,,,
2020-01-01 05:00,6,152,울산,-2.2,,,,1.5,,320,,49,,2.6,-11.4,1018.7,,1029.4,,,9,,,,0,0,,,2000,,,-3.6,,,,,
2020-01-01 06:00,7,152,울산,-1.0,,,,3.3,,290,,52,,3.0,-9.6,1019.0,,1029.6,,,9,,,,8,0,Ci,,2000,,,-2.6,,,,,
2020-01-01 07:00,8,152,울산,-0.7,,,,2.6,,340,,54,,3.1,-8.8,1019.3,,1029.9,,,9,,,,8,0,Ci,,2000,,,-2.0,,,,,
2020-01-01 08:00,9,152,울산,-0.4,,,,2.2,,360,,56,,3.3,-8.1,1019.1,,1029.7,,0.2,,,,,8,0,Ci,,2000,,,-2.1,,,,,
2020-01-01 09:00,10,152,울산,0.6,,,,3.3,,320,,57,,3.6,-6.9,1020.3,,1030.9,,0.3,,,,,7,0,Ci,,2000,,,-0.8,,,,,
2020-01-01 10:00,11,152,울산,1.6,,,,3.1,,320,,54,,3.7,-6.7,1020.8,,1031.4,,0.9,,,,,4,0,Ci,,2000,,,-0.1,,,,,
2020-01-01 11:00,12,152,울산,2.7,,,,3.7,,320,,49,,3.6,-6.9,1020.6,,1031.1,,1.0,,,,,2,0,Ci,,2000,,,2.5,,,,,
