,eventNm,opar,eventCo,eventStartDate,eventEndDate,eventStartTime,eventEndTime,chrgeInfo,mnnst,auspcInstt,phoneNumber,suprtInstt,seatNumber,admfee,entncAge,dscntInfo,atpn,homepageUrl,advantkInfo,prkplceYn,rdnmadr,lnmadr,latitude,longitude,referenceDate,insttCode
0,Epidemic Episode,고운홀,댄스,2020-11-15,2020-11-15,10:00,11:30,무료,김도형,Epidemic Episode,051-749-7664,,130,무료,전체관람,홈페이지 참조,음식물 반입 및 공연 중 사진 촬영 금지,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-12-02,3330000
1,부산우드윈드앙상블 정기연주회,고운홀,앙상블 연주회,2020-11-15,2020-11-15,15:00,16:00,무료,원준연,부산 우드 윈드 앙상블,051-749-7664,,130,무료,7세이상,홈페이지 참조,음식물 반입 및 공연 중 사진 촬영 금지,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-12-02,3330000
2,한마당 음악세상,고운홀,대중 가요,2020-11-16,2020-11-16,14:30,16:30,무료,김상호,한마당 동아리,051-749-7664,,130,무료,40세이상,홈페이지 참조,음식물 반입 및 공연 중 사진 촬영 금지,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-12-02,3330000
3,열차는 밀라노를 막 지나쳤다,고운홀,뮤지컬,2020-11-20,2020-11-20,20:00,22:00,유료,이경진,콘텐츠 윈,051-749-7664,,130,유료,12세이상,홈페이지 참조,음식물 반입 및 공연 중 사진 촬영 금지,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-12-02,3330000
4,열차는 밀라노를 막 지나쳤다,고운홀,뮤지컬,2020-11-21,2020-11-21,16:00,18:00,유료,이경진,콘텐츠 윈,051-749-7664,,130,유료,12세이상,홈페이지 참조,음식물 반입 및 공연 중 사진 촬영 금지,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-12-02,3330000
5,열차는 밀라노를 막 지나쳤다,고운홀,뮤지컬,2020-11-22,2020-11-22,14:00,19:00,유료,이경진,콘텐츠 윈,051-749-7664,,130,유료,12세이상,홈페이지 참조,음식물 반입 및 공연 중 사진 촬영 금지,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-12-02,3330000
6,토마토 아카데미 정기 연주회,고운홀,"피아노, 우쿨렐레, 리코더 연주회",2020-11-25,2020-11-25,19:30,21:30,무료,황수진,토마토 아카데미,051-749-7664,,130,무료,전체관람,홈페이지 참조,음식물 반입 및 공연 중 사진 촬영 금지,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-12-02,3330000
7,하정희 타악 독주회,고운홀,굿 음악 독주회,2020-11-26,2020-11-26,19:30,20:30,무료,하정희,하정희,051-749-7664,,130,무료,8세이상,홈페이지 참조,음식물 반입 및 공연 중 사진 촬영 금지,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-12-02,3330000
8,South Coast Jazz Unit,고운홀,재즈 연주회,2020-11-27,2020-11-27,15:00,16:00,무료,임채흥,South Coast Jazz Unit,051-749-7664,,130,무료,12세이상,홈페이지 참조,음식물 반입 및 공연 중 사진 촬영 금지,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-12-02,3330000
9,연극 AND BAND,고운홀,연극,2020-11-27,2020-11-27,18:00,22:00,무료,황희영,시민극단 몸투레,051-749-7664,,130,무료,7세이상,홈페이지 참조,음식물 반입 및 공연 중 사진 촬영 금지,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-12-02,3330000
