,age,entId,eventContent,eventEndDate,eventEndTime,eventNm,eventStartDate,eventTime,fee,hoseInstitution,latitude,longitude,managementDept,note,phoneNum,place,rateInfo,roadNameAddress
0,가족,420939,작품 전시,2020-11-01,19:30,앤서니 브라운의 행복극장전,2020-07-30,11:00,성인 1만원청소년 8천원,현대예술관,35.5229915120,129.4310069881,현대예술관,매주 화~일(월 쉼),052-209-7820,현대예술관미술관,유료,울산광역시 동구 명덕로 12
1,,420938,동호인 축제,2020-11-08,18:00,제3회 울산광역시 생활문화동호회 페스티벌,2020-11-07,13:00,,울산문화재단,35.54290013,129.3270779,울산문화재단,,052-259-1710,태화강국가정원,무료,
2,지역주민,420937,전시 및 체험,2020-09-25,18:00,도서관주관 독서의달<도심내 전통시장 책 나들이>,2020-09-19,10:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,독서의달 행사,052-210-6539,큰애기 야시장 쉼터,무료,울산광역시 중구 시계탑거리 38
3,,420936,다양한 문화체험행사,2020-09-20,18:00,도심 내 전통시장 책 나들이,2020-05-30,09:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,,052-210-6538,큰애기 야시장 쉼터,무료,울산광역시 중구 시계탑거리 38
4,누구나,420935,인권도서 전시회 「인권도 차별이 되나요?」,2020-09-29,18:00,독서의 달 프로그램,2020-09-01,09:00,,중앙도서관,35.5841904157,129.3672880294,중앙도서관,,052-241-7407,중앙도서관 종합자료실 및 로비 전시서가,무료,울산광역시 북구 두부곡1길 9
5,누구나,420934,"우리지역 바로 알기 퀴즈 「어서 와, 울산 북구는 처음이지?」",2020-09-20,18:00,독서의 달 프로그램,2020-09-01,09:00,,중앙도서관,35.5841904157,129.3672880294,중앙도서관,2020-09-23 추첨,052-241-7412,중앙도서관 자료실,무료,울산광역시 북구 두부곡1길 9
6,36개월~초등전학년,420933,북스타트 보물상자 &  책날개 꾸러미 배부,2020-09-23,18:00,독서의 달 프로그램,2020-09-01,09:00,,중앙도서관,35.5841904157,129.3672880294,중앙도서관,"2020-09-23 추첨, 마감 시 조기 종료",052-241-7415,중앙도서관 1층 어린이자료실,무료,울산광역시 북구 두부곡1길 9
7,누구나,420932,「집에서 책이랑 놀자  슬기로운 독서생활」,2020-09-23,18:00,독서의 달 프로그램,2020-09-01,09:00,,중앙도서관,35.5841904157,129.3672880294,중앙도서관,"2020-09-23 추첨, 마감 시 조기 종료",052-241-7412,중앙도서관 1층 어린이자료실,무료,울산광역시 북구 두부곡1길 9
8,성인,420931,「마음을 다해 대충하는 미니멀라이프」 밀리카 작가와의 만남,2020-09-25,15:00,밀리카 작가와의 만남,2020-09-25,13:30,,중앙도서관,35.5841904157,129.3672880294,중앙도서관,1일 특강,052-241-7407,중앙도서관 1층 세미나실,무료,울산광역시 북구 두부곡1길 9
9,성인,420930,「일상에서 즐기는 보자기 아트」,2020-09-23,12:00,독서의 달 프로그램,2020-09-23,10:30,,중앙도서관,35.5841904157,129.3672880294,중앙도서관,1일 특강,052-241-7407,중앙도서관 1층 세미나실,무료,울산광역시 북구 두부곡1길 9
