행정구역코드,행정구역명,행정구역레벨,성별,총 이동 전입,총 이동 전출,시군구내 전입,시군구내 전출,시군구간 전입,시군구간 전출,시도간 전입,시도간 전출,순이동
31,울산광역시,시도,남자,74934,80048,25926,25926,26968,26968,22040,27154,-5114
31,울산광역시,시도,여자,67122,72180,24209,24209,24880,24880,18033,23091,-5058
31110,울산광역시 중구,시군구,남자,12119,16494,4273,4273,4624,7674,3222,4547,-4375
31110,울산광역시 중구,시군구,여자,11358,15454,4202,4202,4393,7272,2763,3980,-4096
31140,울산광역시 남구,시군구,남자,21038,24659,8500,8500,6361,8356,6177,7803,-3621
31140,울산광역시 남구,시군구,여자,18703,22545,7861,7861,5844,7760,4998,6924,-3842
31170,울산광역시 동구,시군구,남자,8101,11020,3302,3302,1819,3532,2980,4186,-2919
31170,울산광역시 동구,시군구,여자,6872,9400,2867,2867,1628,3177,2377,3356,-2528
31200,울산광역시 북구,시군구,남자,19524,14302,5881,5881,9205,3541,4438,4880,5222
31200,울산광역시 북구,시군구,여자,17734,12879,5483,5483,8447,3218,3804,4178,4855
31710,울산광역시 울주군,시군구,남자,14152,13573,3970,3970,4959,3865,5223,5738,579
31710,울산광역시 울주군,시군구,여자,12455,11902,3796,3796,4568,3453,4091,4653,553
3111051000,울산광역시 중구 학성동,읍면동,남자,720,732,333,266,280,312,107,154,-12
3111051000,울산광역시 중구 학성동,읍면동,여자,674,619,332,208,235,261,107,150,55
3111052000,울산광역시 중구 반구1동,읍면동,남자,912,1308,274,282,410,673,228,353,-396
3111052000,울산광역시 중구 반구1동,읍면동,여자,795,1187,255,245,356,638,184,304,-392
3111053000,울산광역시 중구 반구2동,읍면동,남자,683,825,297,250,219,343,167,232,-142
3111053000,울산광역시 중구 반구2동,읍면동,여자,594,797,314,282,180,312,100,203,-203
3111054000,울산광역시 중구 복산1동,읍면동,남자,224,807,90,446,69,222,65,139,-583
3111054000,울산광역시 중구 복산1동,읍면동,여자,217,787,95,454,64,199,58,134,-570
3111055000,울산광역시 중구 복산2동,읍면동,남자,907,925,490,325,268,394,149,206,-18
3111055000,울산광역시 중구 복산2동,읍면동,여자,911,924,487,378,282,366,142,180,-13
3111058500,울산광역시 중구 중앙동,읍면동,남자,899,1200,345,426,341,483,213,291,-301
3111058500,울산광역시 중구 중앙동,읍면동,여자,771,1115,279,374,312,481,180,260,-344
