,의료기관명,의료기관종별,의료기관주소(도로명),lat_lng,lat,lng
0,의료법인 정안의료재단 중앙병원,종합병원,울산광역시 남구 문수로480번길 10 (신정동),"{'lat': 35.5315233, 'lng': 129.3052032}",35.5315233,129.3052032
1,의료법인 은성의료재단 좋은삼정병원,종합병원,울산광역시 남구 북부순환도로 51 (무거동),"{'lat': 35.5528284, 'lng': 129.2690588}",35.5528284,129.2690588
2,의료법인혜명심의료재단 울산병원,종합병원,울산광역시 남구 월평로171번길 13 (신정동),"{'lat': 35.546209, 'lng': 129.3230784}",35.546209,129.3230784
3,학교법인 울산공업학원 울산대학교병원,종합병원,"울산광역시 동구 방어진순환도로 877, 울산대학교병원 (전하동)","{'lat': 35.5199931, 'lng': 129.4289601}",35.5199931,129.4289601
4,의료법인 송은의료재단 울산시티병원,종합병원,울산광역시 북구 산업로 1007(연암동),"{'lat': 35.5810679, 'lng': 129.3623813}",35.5810679,129.3623813
5,울산엘리야병원,종합병원,울산광역시 북구 호계로 285(호계동),"{'lat': 35.6288954, 'lng': 129.3506373}",35.6288954,129.3506373
6,서울산보람병원,종합병원,울산광역시 울주군 삼남면 중평로 53,"{'lat': 35.5596168, 'lng': 129.1205746}",35.5596168,129.1205746
7,의료법인 동강의료재단 동천동강병원,종합병원,"울산광역시 중구 외솔큰길 215 (남외동, 동천동강병원)","{'lat': 35.568577, 'lng': 129.350513}",35.568577,129.350513
8,의료법인 동강의료재단 동강병원,종합병원,울산광역시 중구 태화로 239 (태화동),"{'lat': 35.553663, 'lng': 129.3020349}",35.553663,129.3020349
9,울산미즈병원,병원,울산광역시 남구 남산로 2 (무거동),"{'lat': 35.5523116, 'lng': 129.2708925}",35.5523116,129.2708925
10,(의) 내경의료재단 울산제일병원,병원,울산광역시 남구 남산로354번길 26 (신정동),"{'lat': 35.5482242, 'lng': 129.306891}",35.5482242,129.306891
11,위드여성병원,병원,울산광역시 남구 남중로 123 (삼산동),"{'lat': 35.5454725, 'lng': 129.3479951}",35.5454725,129.3479951
12,의료법인동원의료재단강남동강병원,병원,울산광역시 남구 돋질로 80 (달동),"{'lat': 35.5382586, 'lng': 129.3145971}",35.5382586,129.3145971
13,(의)인석의료재단 보람병원,병원,울산광역시 남구 돋질로336번길 10 (삼산동),"{'lat': 35.5423747, 'lng': 129.3410411}",35.5423747,129.3410411
14,큰빛병원,병원,울산광역시 남구 문수로457번길 5 (신정동),"{'lat': 35.5334108, 'lng': 129.3029381}",35.5334108,129.3029381
15,제니스병원,병원,울산광역시 남구 번영로 160 (달동),"{'lat': 35.5395853, 'lng': 129.3275933}",35.5395853,129.3275933
16,울산우리병원,병원,"울산광역시 남구 번영로 195, 2층 (신정동, 동문아뮤티)","{'lat': 35.5427962, 'lng': 129.3252631}",35.5427962,129.3252631
17,항사랑병원,병원,울산광역시 남구 번영로 92 (달동),"{'lat': 35.5338132, 'lng': 129.3299792}",35.5338132,129.3299792
18,서울아동병원,병원,"울산광역시 남구 북부순환도로 25, 지하1, 3~6층 (무거동)","{'lat': 35.5510418, 'lng': 129.260725}",35.5510418,129.260725
19,굿모닝병원,병원,울산광역시 남구 삼산로 110 (달동),"{'lat': 35.5349553, 'lng': 129.3198756}",35.5349553,129.3198756
20,하나이비인후과병원,병원,울산광역시 남구 삼산로 139 (달동),"{'lat': 35.5364328, 'lng': 129.322404}",35.5364328,129.322404
21,중앙학문병원,병원,울산광역시 남구 삼산로 161 (달동),"{'lat': 35.5371579, 'lng': 129.3248209}",35.5371579,129.3248209
22,좋은의사들안과병원,병원,"울산광역시 남구 삼산로 213, 웰빙메디타워 2~7, 10층 (달동)","{'lat': 35.5383213, 'lng': 129.3304086}",35.5383213,129.3304086
23,참바른병원,병원,"울산광역시 남구 삼산로 247, 2,10,11,12층 (달동)","{'lat': 35.5375769, 'lng': 129.3307588}",35.5375769,129.3307588
24,울산청맥외과병원,병원,"울산광역시 남구 삼산로 274, 15층 (삼산동, W-CENTER)","{'lat': 35.5389471, 'lng': 129.3371411}",35.5389471,129.3371411
25,의료법인정우의료재단프라우메디병원,병원,울산광역시 남구 삼산중로 94 (삼산동),"{'lat': 35.5418412, 'lng': 129.335921}",35.5418412,129.335921
26,울산노인전문병원,병원,울산광역시 남구 수암로 8 (신정동),"{'lat': 35.5317857, 'lng': 129.3089343}",35.5317857,129.3089343
27,울들병원,병원,"울산광역시 남구 중앙로 228, 2~10층 (신정동)","{'lat': 35.541321, 'lng': 129.3119641}",35.541321,129.3119641
28,에이치엠병원,병원,울산광역시 남구 중앙로167번길 26 (신정동),"{'lat': 35.5355621, 'lng': 129.3110951}",35.5355621,129.3110951
29,(의)고담의료재단마더스병원,병원,울산광역시 남구 화합로 107 (달동),"{'lat': 35.534394, 'lng': 129.3405267}",35.534394,129.3405267
30,미래아동병원,병원,울산광역시 동구 방어진순환도로 1162 (서부동),"{'lat': 35.5332318, 'lng': 129.4221623}",35.5332318,129.4221623
31,의료법인 송은의료재단 울산시티e병원,병원,울산광역시 북구 산업로 1001(연암동),"{'lat': 35.5805527, 'lng': 129.3613124}",35.5805527,129.3613124
32,울산아동병원,병원,울산광역시 북구 호계로 332-1(신천동),"{'lat': 35.6321448, 'lng': 129.3521426}",35.6321448,129.3521426
33,울산기독병원,병원,울산광역시 울주군 두동면 남명리1길 34-49,"{'lat': 35.7126117, 'lng': 129.2070629}",35.7126117,129.2070629
34,사회복지법인 동향원 부설 반구대병원,병원,울산광역시 울주군 두동면 천전각석길 11,"{'lat': 35.6180031, 'lng': 129.1693384}",35.6180031,129.1693384
35,햇살아동병원,병원,울산광역시 울주군 범서읍 천상중앙길 80,"{'lat': 35.5630764, 'lng': 129.2276165}",35.5630764,129.2276165
36,세광병원,병원,울산광역시 울주군 삼남면 반구대로 15,"{'lat': 35.4992668, 'lng': 129.0908615}",35.4992668,129.0908615
37,의료법인 명원의료재단 파인힐병원,병원,울산광역시 울주군 상북면 석남로 900,"{'lat': 35.6114575, 'lng': 129.0735981}",35.6114575,129.0735981
38,우리아동병원,병원,울산광역시 울주군 언양읍 헌양길 175,"{'lat': 35.5655588, 'lng': 129.1224587}",35.5655588,129.1224587
39,온양우리아동병원,병원,"울산광역시 울주군 온양읍 화산발리로 742-15, 온양우리아동병원 지1,지2,2~5층","{'lat': 35.4066861, 'lng': 129.2898833}",35.4066861,129.2898833
40,큰빛웅촌병원,병원,울산광역시 울주군 웅촌면 웅촌로 685,"{'lat': 35.4875226, 'lng': 129.2206917}",35.4875226,129.2206917
41,맘스여성병원,병원,울산광역시 중구 남외2길 36 (남외동),"{'lat': 35.5668285, 'lng': 129.3508347}",35.5668285,129.3508347
42,우정병원,병원,울산광역시 중구 명륜로 17 (태화동),"{'lat': 35.5539271, 'lng': 129.3086842}",35.5539271,129.3086842
43,아이윤병원,병원,"울산광역시 중구 번영로 371, 3,6,7,12층 (학산동)","{'lat': 35.5582908, 'lng': 129.3268694}",35.5582908,129.3268694
44,튼튼아동병원,병원,"울산광역시 중구 번영로 590, 5,6,7층 (남외동)","{'lat': 35.5658866, 'lng': 129.3474877}",35.5658866,129.3474877
45,강서병원,병원,울산광역시 중구 북부순환도로 107 (다운동),"{'lat': 35.5677457, 'lng': 129.2803395}",35.5677457,129.2803395
46,유성병원,병원,울산광역시 중구 장춘로 169 (학산동),"{'lat': 35.5566795, 'lng': 129.3254553}",35.5566795,129.3254553
47,사람이소중한병원,병원,"울산광역시 중구 학성로 118, 1~6층 (옥교동)","{'lat': 35.5524343, 'lng': 129.3245444}",35.5524343,129.3245444
48,의료법인에스엠씨의료재단울산세민병원,병원,울산광역시 중구 학성로 184 (학성동),"{'lat': 35.556588, 'lng': 129.3309785}",35.556588,129.3309785
49,울산H병원,병원,울산광역시 중구 화합로 363 (반구동),"{'lat': 35.5583683, 'lng': 129.3408012}",35.5583683,129.3408012
50,아이마음아동병원,병원,"율산광역시 북구 괴정1길 114, 2,3,4,5층(매곡동)","{'lat': 35.6410885, 'lng': 129.3582409}",35.6410885,129.3582409
51,당당한방병원,한방병원,"울산광역시 남구 삼산로 247, 마마파파엔베이비빌딩 (달동)","{'lat': 35.5390786, 'lng': 129.3340444}",35.5390786,129.3340444
52,자연뜰한방병원,한방병원,"울산광역시 남구 수암로 138, 9,11층 (야음동)","{'lat': 35.5269997, 'lng': 129.3219096}",35.5269997,129.3219096
53,재단법인 자생의료재단 울산자생한방병원,한방병원,"울산광역시 남구 삼산로 51 (신정동, B1,1,3,5~7층)","{'lat': 35.5340743, 'lng': 129.3133975}",35.5340743,129.3133975
54,동강한방병원,한방병원,울산광역시 남구 돋질로 80 (달동),"{'lat': 35.5382586, 'lng': 129.3145971}",35.5382586,129.3145971
55,의료법인 기쁨의료재단 엠디한방병원,한방병원,"울산광역시 북구 호계로 332-1, 현대하이플러스 2, 4층(신천동)","{'lat': 35.6331819, 'lng': 129.3500812}",35.6331819,129.3500812
56,정안요양병원,요양병원,울산광역시 북구 관문길 251(천곡동),"{'lat': 35.6541448, 'lng': 129.31292}",35.6541448,129.31292
57,의료법인 옐림의료재단 농소요양병원,요양병원,울산광역시 북구 아진로 78(상안동),"{'lat': 35.6304558, 'lng': 129.3403657}",35.6304558,129.3403657
58,BB요양병원,요양병원,울산광역시 북구 염포로 353(양정동),"{'lat': 35.5508985, 'lng': 129.3747941}",35.5508985,129.3747941
59,복음요양병원,요양병원,울산광역시 북구 제내1길 6(신천동),"{'lat': 35.6315227, 'lng': 129.3517567}",35.6315227,129.3517567
60,세나요양병원,요양병원,울산광역시 북구 호계로 296(호계동),"{'lat': 35.6294253, 'lng': 129.351526}",35.6294253,129.351526
61,좋은요양병원,일반요양병원,"울산광역시 남구 남중로 132, 2, 4~5층 (삼산동)","{'lat': 35.5461658, 'lng': 129.3487831}",35.5461658,129.3487831
62,효마음요양병원,일반요양병원,"울산광역시 남구 대학로 144, 3~8층 (무거동)","{'lat': 35.5474142, 'lng': 129.2625461}",35.5474142,129.2625461
63,의료법인 세연의료재단 무거연세요양병원,일반요양병원,"울산광역시 남구 대학로 148, 2~7층 (무거동)","{'lat': 35.5477279, 'lng': 129.2627077}",35.5477279,129.2627077
64,의)우아의료재단 달동길메리요양병원,일반요양병원,"울산광역시 남구 돋질로 146 (달동, 달동길메리요양병원)","{'lat': 35.540184, 'lng': 129.321677}",35.540184,129.321677
65,태안요양병원,일반요양병원,울산광역시 남구 돋질로 150 (달동),"{'lat': 35.5400586, 'lng': 129.3220015}",35.5400586,129.3220015
66,노블레스요양병원,일반요양병원,"울산광역시 남구 돋질로 277, 지하1층,지상1-8층 (삼산동)","{'lat': 35.544512, 'lng': 129.3350831}",35.544512,129.3350831
67,성모요양병원,일반요양병원,울산광역시 남구 돋질로 293 (삼산동),"{'lat': 35.5445166, 'lng': 129.3368674}",35.5445166,129.3368674
68,새생명요양병원,일반요양병원,울산광역시 남구 돋질로 84 (달동),"{'lat': 35.5318753, 'lng': 129.3303154}",35.5318753,129.3303154
69,구인의료재단법인 오복요양병원,일반요양병원,울산광역시 남구 두왕로 335 (신정동),"{'lat': 35.5313575, 'lng': 129.3069426}",35.5313575,129.3069426
70,국민요양병원,일반요양병원,울산광역시 남구 번영로 15 (야음동),"{'lat': 35.5274301, 'lng': 129.3277484}",35.5274301,129.3277484
71,의료법인 청산의료재단 효원요양병원,일반요양병원,"울산광역시 남구 봉월로 155, 4~6층 (신정동)","{'lat': 35.5463308, 'lng': 129.3070334}",35.5463308,129.3070334
