,date,weekend,ntl_holi,holi,rest_yn,seq_holi
0,2020-01-01,N,N,Y,Y,N
1,2020-01-02,N,N,N,N,N
2,2020-01-03,N,N,N,N,N
3,2020-01-04,Y,N,N,Y,N
4,2020-01-05,Y,N,N,Y,N
5,2020-01-06,N,N,N,N,N
6,2020-01-07,N,N,N,N,N
7,2020-01-08,N,N,N,N,N
8,2020-01-09,N,N,N,N,N
9,2020-01-10,N,N,N,N,N
10,2020-01-11,Y,N,N,Y,N
11,2020-01-12,Y,N,N,Y,N
12,2020-01-13,N,N,N,N,N
13,2020-01-14,N,N,N,N,N
14,2020-01-15,N,N,N,N,N
15,2020-01-16,N,N,N,N,N
16,2020-01-17,N,N,N,N,N
17,2020-01-18,Y,N,N,Y,N
18,2020-01-19,Y,N,N,Y,N
19,2020-01-20,N,N,N,N,N
20,2020-01-21,N,N,N,N,N
21,2020-01-22,N,N,N,N,N
22,2020-01-23,N,N,N,N,N
23,2020-01-24,N,Y,N,Y,Y
24,2020-01-25,Y,Y,N,Y,Y
25,2020-01-26,Y,Y,N,Y,Y
26,2020-01-27,N,Y,N,Y,Y
27,2020-01-28,N,N,N,N,N
28,2020-01-29,N,N,N,N,N
29,2020-01-30,N,N,N,N,N
30,2020-01-31,N,N,N,N,N
31,2020-02-01,Y,N,N,Y,N
32,2020-02-02,Y,N,N,Y,N
33,2020-02-03,N,N,N,N,N
34,2020-02-04,N,N,N,N,N
35,2020-02-05,N,N,N,N,N
36,2020-02-06,N,N,N,N,N
37,2020-02-07,N,N,N,N,N
38,2020-02-08,Y,N,N,Y,N
39,2020-02-09,Y,N,N,Y,N
40,2020-02-10,N,N,N,N,N
41,2020-02-11,N,N,N,N,N
42,2020-02-12,N,N,N,N,N
43,2020-02-13,N,N,N,N,N
44,2020-02-14,N,N,N,N,N
45,2020-02-15,Y,N,N,Y,N
46,2020-02-16,Y,N,N,Y,N
47,2020-02-17,N,N,N,N,N
48,2020-02-18,N,N,N,N,N
49,2020-02-19,N,N,N,N,N
50,2020-02-20,N,N,N,N,N
51,2020-02-21,N,N,N,N,N
52,2020-02-22,Y,N,N,Y,N
53,2020-02-23,Y,N,N,Y,N
54,2020-02-24,N,N,N,N,N
55,2020-02-25,N,N,N,N,N
56,2020-02-26,N,N,N,N,N
57,2020-02-27,N,N,N,N,N
58,2020-02-28,N,N,N,N,N
59,2020-02-29,Y,N,N,Y,N
60,2020-03-01,Y,N,Y,Y,N
61,2020-03-02,N,N,N,N,N
62,2020-03-03,N,N,N,N,N
63,2020-03-04,N,N,N,N,N
64,2020-03-05,N,N,N,N,N
65,2020-03-06,N,N,N,N,N
66,2020-03-07,Y,N,N,Y,N
67,2020-03-08,Y,N,N,Y,N
68,2020-03-09,N,N,N,N,N
69,2020-03-10,N,N,N,N,N
70,2020-03-11,N,N,N,N,N
71,2020-03-12,N,N,N,N,N
72,2020-03-13,N,N,N,N,N
73,2020-03-14,Y,N,N,Y,N
74,2020-03-15,Y,N,N,Y,N
75,2020-03-16,N,N,N,N,N
76,2020-03-17,N,N,N,N,N
77,2020-03-18,N,N,N,N,N
78,2020-03-19,N,N,N,N,N
79,2020-03-20,N,N,N,N,N
80,2020-03-21,Y,N,N,Y,N
81,2020-03-22,Y,N,N,Y,N
82,2020-03-23,N,N,N,N,N
83,2020-03-24,N,N,N,N,N
84,2020-03-25,N,N,N,N,N
