rowNum,opnSfTeamCode,mgtNo,opnSvcId,updateGbn,updateDt,opnSvcNm,bplcNm,sitePostNo,siteWhlAddr,rdnPostNo,rdnWhlAddr,siteArea,apvPermYmd,apvCancelYmd,dcbYmd,clgStdt,clgEnddt,ropnYmd,trdStateGbn,trdStateNm,dtlStateGbn,dtlStateNm,x,y,lastModTs,uptaeNm,siteTel,latitude,longitude
77,3730000,373000003720210006,02_03_06_P,I,2021-04-13 00:22:58,동물판매업,루하's 펫살롱,,울산광역시 울주군 삼남읍 교동리 1603-1 ,44950,"울산광역시 울주군 삼남읍 봉화로 45, 루하's 펫살롱 1층",0,20210410,,,,,,01,영업\/정상,0000,정상,391702.584009192    ,230817.114402233    ,20210410160419,,,35.55861030000001,129.1151018
78,3730000,373000003720210005,02_03_06_P,I,2021-04-13 00:22:58,동물판매업,루하's 펫살롱,,울산광역시 울주군 삼남읍 교동리 1603-1 ,44950,"울산광역시 울주군 삼남읍 봉화로 45, 루하's 펫살롱 1층",0,20210410,,,,,,01,영업\/정상,0000,정상,391702.584009192    ,230817.114402233    ,20210410155349,,,35.55861030000001,129.1151018
187,3720000,3720000-104-2021-00029,07_24_05_P,U,2021-04-13 02:40:00,휴게음식점,세븐일레븐울산염포현대점,683806,울산광역시 북구 염포동 146-5 지상1층 ,44260,"울산광역시 북구 새장터7길 41-6, 지상1층 (염포동)",1.32,20210323,,,,,,01,영업\/정상,01,영업,416766.285532875    ,228898.616759658    ,20210410152636,편의점,,35.5361219,129.3908216
292,6310000,202063100006500001,09_28_07_P,U,2021-04-12 02:40:00,석유및석유대체연료판매업체,주식회사 일흥,44780,울산광역시 남구 장생포동 170번지,44780,"울산광역시 남구 장생포고래로 183, 3층 (장생포동)",,20201123,,,,,,01,영업\/정상,1,신규,415396.036697857    ,225069.850285709    ,20210410193504,일반대리점,0522769903,35.5051342,129.3788999
444,6310000,201963100006500005,09_28_07_P,U,2021-04-12 02:40:00,석유및석유대체연료판매업체,(주)마봉,44780,울산광역시 남구 장생포동 178-1,44780,"울산광역시 남구 장생포고래로 189-1, 4층 (장생포동)",,20191021,,,,,,01,영업\/정상,1,신규,415445.505909248    ,225073.508029649    ,20210410193504,일반대리점,0263679700,35.5046806,129.3723813
461,6310000,201963100006500003,09_28_07_P,U,2021-04-12 02:40:00,석유및석유대체연료판매업체,(주)엠케이에너지,44769,울산광역시 남구 야음동 397-8,44769,울산광역시 남구 산업로355번길 96 (야음동),,20190723,,,,,,01,영업\/정상,7,영업개시,,,20210410193504,일반대리점,0522270507,35.5195091,129.3332652
492,6310000,201963100006500004,09_28_07_P,U,2021-04-12 02:40:00,석유및석유대체연료판매업체,도하에너지(주),45002,울산광역시 울주군 온산읍 덕신리 1329-4 덕신동백아파트,45002,"울산광역시 울주군 온산읍 영남7길 21, 상가동 108호 (덕신동백아파트)",,20190416,,,,,,01,영업\/정상,7,영업개시,409454.987795566    ,218244.905762589    ,20210410193504,일반대리점,,35.4413583,129.3073993
500,6310000,201963100006500002,09_28_07_P,U,2021-04-12 02:40:00,석유및석유대체연료판매업체,다보마린(주),44780,울산광역시 남구 장생포동 147-13,44780,울산광역시 남구 장생포고래로 161-1 (장생포동),,20190409,,,,,,01,영업\/정상,7,영업개시,415162.978549368    ,224994.738543914    ,20210410193504,일반대리점,0522277126,35.5021288,129.3742027
527,6310000,201963100006500001,09_28_07_P,U,2021-04-12 02:40:00,석유및석유대체연료판매업체,(주)온유,44780,울산광역시 남구 매암동 220-12,44780,"울산광역시 남구 장생포고래로 261-1, 2층 (매암동)",,20190214,,,,,,01,영업\/정상,7,영업개시,416119.585811084    ,225305.600713674    ,20210410193504,일반대리점,0522696987,35.50390429999999,129.3824941
600,6310000,201863100006500003,09_28_07_P,U,2021-04-12 02:40:00,석유및석유대체연료판매업체,흥진에너지 주식회사,44715,울산광역시 남구 삼산동 1620-6 호정빌딩,44715,"울산광역시 남구 화합로134번길 22, 호정빌딩 1층 (삼산동)",,20180515,,,,,,01,영업\/정상,7,영업개시,412401.856986161    ,228840.816139221    ,20210410193504,일반대리점,0522614660,35.5365745,129.3426934
663,6310000,201763100006500006,09_28_07_P,U,2021-04-12 02:40:00,석유및석유대체연료판매업체,(주)월드이오일,,울산광역시 남구 장생포동 118번지 2호 ,44780,"울산광역시 남구 장생포고래로 195, 3층 (장생포동)",,20170902,,,,,,01,영업\/정상,7,영업개시,415496.339051486    ,225081.535017731    ,20210410193504,일반대리점,0522607005,35.5051342,129.3788999
668,6310000,201763100006500004,09_28_07_P,U,2021-04-12 02:40:00,석유및석유대체연료판매업체,주식회사 세아,,울산광역시 남구 선암동 181번지 144호 ,44771,울산광역시 남구 산업로325번길 13-2 (선암동),,20170725,,,,,,01,영업\/정상,7,영업개시,411974.644805675    ,226265.151976949    ,20210410193504,일반대리점,0522680503,35.51343689999999,129.3372041
695,3700000,PHMA120173700018041100007,01_01_02_P,U,2021-04-13 02:40:00,의원,화사한외과의원,,울산광역시 남구 달동 913-2,44722,"울산광역시 남구 삼산로 100, 3,5,6,7층 (달동)",,20170327,,,,,,01,영업\/정상,13,영업중,411767.033123463    ,229042.095123787    ,20210410133324,의원,052-716-1192,35.5347657,129.3186728
705,6310000,201763100006500002,09_28_07_P,U,2021-04-12 02:40:00,석유및석유대체연료판매업체,(주)서영,,울산광역시 남구 장생포동 145번지 10호 ,44780,울산광역시 남구 장생포고래로 162-1 (장생포동),,20170203,,,,,,01,영업\/정상,7,영업개시,415186.501684075    ,224974.512064111    ,20210410193504,일반대리점,0522655104,35.5020567,129.3742787
