,rowNum,opnSfTeamCode,mgtNo,opnSvcId,updateGbn,updateDt,opnSvcNm,bplcNm,sitePostNo,siteWhlAddr,rdnPostNo,rdnWhlAddr,siteArea,apvPermYmd,apvCancelYmd,dcbYmd,clgStdt,clgEnddt,ropnYmd,trdStateGbn,trdStateNm,dtlStateGbn,dtlStateNm,x,y,lastModTs,uptaeNm,siteTel
0,13,3720000,372000000920210003,07_22_04_P,I,2021-04-11 00:22:58,축산판매업,욱이 식육점,,울산광역시 북구 매곡동 514-1 ,44218,울산광역시 북구 신천로 57 (매곡동),49.5,20210409,,,,,,01,영업\/정상,0000,정상,412778.486393014    ,240688.625578207    ,20210409153749,식육판매업,
1,100,3700000,3700000-211-2021-00016,05_18_01_P,I,2021-04-11 00:22:58,미용업,쌍세스,680801,울산광역시 남구 달동 612-30 ,44694,"울산광역시 남구 번영로163번길 26, 1층 (달동)",.00,20210409,,,,,,01,영업\/정상,01,영업,410635.710673589    ,229067.207553408    ,20210409144620,일반미용업,
2,101,3700000,3700000-211-2021-00015,05_18_01_P,I,2021-04-11 00:22:58,미용업,하이디,680010,울산광역시 남구 신정동 1909 대공원대명루첸아파트 ,44731,"울산광역시 남구 중앙로120번길 12-8, 상가동 107호 (신정동, 대공원대명루첸아파트)",.00,20210409,,,,,,01,영업\/정상,01,영업,410109.342636716    ,228506.15497200000  ,20210409093130,일반미용업,
3,117,3710000,3710000-211-2021-00005,05_18_01_P,I,2021-04-11 00:22:58,미용업,#리헬로,682824,울산광역시 동구 화정동 147-18 ,44061,"울산광역시 동구 대송8길 65, 1층 (화정동)",.00,20210409,,,,,,01,영업\/정상,01,영업,419539.405618193    ,225243.197862031    ,20210409155005,일반미용업,
4,208,3720000,2021372017830200262,08_26_04_P,I,2021-04-11 00:22:58,통신판매업,미트델리치오,,울산광역시 북구 산하동 293-1,44264,"울산광역시 북구 강동산하4로 21, 111호호 (산하동)",,20210409,,,,,,01,영업\/정상,01,정상영업,420785.183452486    ,239573.187939656    ,20210409153316,건강\/식품,
5,209,3720000,2021372017830200261,08_26_04_P,I,2021-04-11 00:22:58,통신판매업,구름이네까까,,울산광역시 북구 명촌동 697-9 울산명촌 효성해링턴 플레이스,44254,"울산광역시 북구 명촌20길 33, 1층 112호 (명촌동, 울산명촌 효성해링턴 플레이스)",,20210409,,,,,,01,영업\/정상,01,정상영업,413379.059869566    ,231220.799745813    ,20210409144947,기타,
6,246,3710000,2021371011630200106,08_26_04_P,I,2021-04-11 00:22:58,통신판매업,벡커,,울산광역시 동구 방어동 1064 현대중공업(주)외국인아파트,44115,"울산광역시 동구 화잠로 51, 104동 401호 (방어동, 현대중공업(주)외국인아파트)",,20210409,,,,,,01,영업\/정상,01,정상영업,418647.491356372    ,222188.173456401    ,20210409110402,의류\/패션\/잡화\/뷰티,00-9879-7176
7,384,3690000,2021369015230200191,08_26_04_P,I,2021-04-11 00:22:58,통신판매업,주식회사 가화,,울산광역시 중구 태화동 157 양지동산맨션,44455,"울산광역시 중구 신기11길 22, 601호 (태화동, 양지동산맨션)",,20210409,,,,,,01,영업\/정상,01,정상영업,408406.742585357    ,230655.817519945    ,20210409160812,종합몰,
8,385,3690000,2021369015230200189,08_26_04_P,I,2021-04-11 00:22:58,통신판매업,디자인 시소,,울산광역시 중구 유곡동 142 유곡 e편한세상,44459,"울산광역시 중구 평동3길 2, 108동 1102호 (유곡동, 유곡 e편한세상)",,20210409,,,,,,01,영업\/정상,01,정상영업,408700.105166055    ,231353.709628825    ,20210409102035,가구\/수납용품,
9,915,3690000,3690000-134-2021-00028,07_22_03_P,I,2021-04-11 00:22:58,건강기능식품일반판매업,천기초약초백화점,681190,울산광역시 중구 옥교동 125-11 ,44531,"울산광역시 중구 학성로 110, 1층 (옥교동)",,20210409,,,,,,01,영업\/정상,01,영업,410582.147554946    ,230890.801253219    ,20210409163707,,
10,1094,3720000,3720000-107-2021-00078,07_22_19_P,I,2021-04-11 00:22:58,즉석판매제조가공업,오늘도설렘,683803,울산광역시 북구 신천동 583 지상4층 406호 ,44218,"울산광역시 북구 신천로 55-22, 지상4층 406호 (신천동)",.00,20210409,,,,,,01,영업\/정상,01,영업,412628.895938207    ,240779.098749693    ,20210409172653,즉석판매제조가공업,
11,1219,3700000,3700000-104-2021-00078,07_24_05_P,I,2021-04-11 00:22:58,휴게음식점,이마트24옥현주공점,680808,울산광역시 남구 무거동 478-2 옥현주공2단지아파트 상가 ,44613,"울산광역시 남구 옥현로 92-18, 옥현주공2단지아파트 상가 102, 103호 (무거동)",.00,20210409,,,,,,01,영업\/정상,01,영업,405118.517097713    ,229535.908123671    ,20210409155238,편의점,
12,1220,3700000,3700000-104-2021-00077,07_24_05_P,I,2021-04-11 00:22:58,휴게음식점,블루샥,680808,울산광역시 남구 무거동 628-7 ,44611,"울산광역시 남구 대학로76번길 7-14, 1층 (무거동)",120.00,20210409,,,,,,01,영업\/정상,01,영업,404910.43497641     ,229254.831754575    ,20210409140752,커피숍,
13,1342,3690000,3690000-104-2021-00046,07_24_05_P,I,2021-04-11 00:22:58,휴게음식점,데스티노,681200,울산광역시 중구 학산동 1-10 ,44522,"울산광역시 중구 구교로 34, 1층 (학산동)",51.62,20210409,,,,,,01,영업\/정상,01,영업,411032.774825138    ,230865.790492541    ,20210409105647,기타 휴게음식점,
14,1358,3730000,3730000-104-2021-00043,07_24_05_P,I,2021-04-11 00:22:58,휴게음식점,카페(cafe).행복,,울산광역시 울주군 청량읍 용암리 315-7 ,44989,"울산광역시 울주군 청량읍 온산로 344-3, 1층",23.10,20210409,,,,,,01,영업\/정상,01,영업,411093.057284037    ,221173.79487433     ,20210409170953,커피숍,
15,1393,3700000,3700000-101-2021-00149,07_24_04_P,I,2021-04-11 00:22:58,일반음식점,돼지생갈비상회(무거점),680812,울산광역시 남구 무거동 1531-13 ,44606,"울산광역시 남구 신복로22번길 20, 1층 (무거동)",166.40,20210409,,,,,,01,영업\/정상,01,영업,404882.593584023    ,230192.662726558    ,20210409152731,식육(숯불구이),
16,1453,3690000,3690000-101-2021-00058,07_24_04_P,I,2021-04-11 00:22:58,일반음식점,판,681190,울산광역시 중구 옥교동 188-9 ,44530,"울산광역시 중구 옥골샘8길 6, 1~2층 (옥교동)",169.10,20210409,,,,,,01,영업\/정상,01,영업,410524.430307681    ,231039.7250705      ,20210409165442,기타,
17,1454,3690000,3690000-101-2021-00057,07_24_04_P,I,2021-04-11 00:22:58,일반음식점,비비큐 울산중앙점,681200,울산광역시 중구 학산동 137-12 ,44530,울산광역시 중구 옥골샘1길 2 (학산동),50.12,20210409,,,,,,01,영업\/정상,01,영업,410823.447597174    ,231095.42477575     ,20210409102818,기타,
18,1464,3730000,3730000-101-2021-00068,07_24_04_P,I,2021-04-11 00:22:58,일반음식점,핵밥울산덕신점,689894,울산광역시 울주군 온산읍 덕신리 1351-4 ,45003,"울산광역시 울주군 온산읍 서영남1길 43, 1층",80.33,20210409,,,,,,01,영업\/정상,01,영업,409380.866564274    ,217784.356109072    ,20210409100739,한식,
19,1476,3710000,3710000-101-2021-00050,07_24_04_P,I,2021-04-11 00:22:58,일반음식점,빵위에치즈 울산동구점,682803,울산광역시 동구 방어동 123-1 102호,44111,"울산광역시 동구 슬도로 36, 1층 102호 (방어동)",.00,20210409,,,,,,01,영업\/정상,01,영업,420384.554340279    ,223500.75101455     ,20210409133352,기타,
20,1699,3720000,3720000-101-2021-00073,07_24_04_P,I,2021-04-11 00:22:58,일반음식점,치킨을사랑한떡볶이,683812,울산광역시 북구 호계동 273-1 지상1층 ,44227,"울산광역시 북구 동대1길 18, 지상1층 (호계동)",.00,20210409,,,,,,01,영업\/정상,01,영업,412999.628339583    ,238974.71450801     ,20210409143923,호프\/통닭,
