rowNum,opnSfTeamCode,mgtNo,opnSvcId,updateGbn,updateDt,opnSvcNm,bplcNm,sitePostNo,siteWhlAddr,rdnPostNo,rdnWhlAddr,siteArea,apvPermYmd,apvCancelYmd,dcbYmd,clgStdt,clgEnddt,ropnYmd,trdStateGbn,trdStateNm,dtlStateGbn,dtlStateNm,x,y,lastModTs,uptaeNm,siteTel,latitude,longitude
13,3710000,2021371011630200108,08_26_04_P,I,2021-04-15 00:22:57,통신판매업,관심다방,,울산광역시 동구 일산동 462-22 무림아파트,44053,"울산광역시 동구 번덕8길 157, 401호 (일산동, 무림아파트)",,20210414,,,,,,01,영업\/정상,01,정상영업,420186.766027675    ,225397.689108257    ,20210413203003,종합몰,,35.5038892,129.4275096
37,6310000,631000050220210006,02_04_05_P,I,2021-04-15 00:22:57,사료제조업,별림달림,,울산광역시 울주군 삼남읍 교동리 1583번지 11호 ,44949,"울산광역시 울주군 삼남읍 서상평길 9-6, 1층",,20210413,,,,,,01,영업\/정상,0000,정상,391675.390586002    ,230969.995800625    ,20210413192423,사료제조업(단미),,35.5599909,129.1148264
124,3700000,3700000-206-2021-00005,09_30_04_P,I,2021-04-15 00:22:57,건물위생관리업,더이스트환경기술,680805,울산광역시 남구 달동 1321-13 ,44701,"울산광역시 남구 삼산중로131번길 39, 2층 (달동)",.00,20210413,,,,,,01,영업\/정상,01,영업,411374.489582192    ,229641.377886994    ,20210413174519,건물위생관리업,,35.5439773,129.3316004
145,3700000,3700000-211-2021-00017,05_18_01_P,I,2021-04-15 00:22:57,미용업,"아이마이미마인,(IMYMEMINE,)",680805,울산광역시 남구 달동 1347-3 ,44703,"울산광역시 남구 돋질로220번길 19, 1층 (달동)",.00,20210413,,,,,,01,영업\/정상,01,영업,411254.326900124    ,229237.934688172    ,20210413134622,일반미용업,,35.5403897,129.3301704
157,3730000,3730000-211-2021-00008,05_18_01_P,I,2021-04-15 00:22:57,미용업,포맨 남성컷트,689894,울산광역시 울주군 온산읍 덕신리 1298-6 ,45001,"울산광역시 울주군 온산읍 온덕3길 24, 1층",.00,20210413,,,,,,01,영업\/정상,01,영업,409801.589402318    ,217552.031254531    ,20210413161652,일반미용업,,35.4354692,129.3111278
158,3730000,3730000-211-2021-00007,05_18_01_P,I,2021-04-15 00:22:57,미용업,"오,늘헤어",689807,울산광역시 울주군 언양읍 송대리 53-1 양우내안애 더퍼스트 아파트 ,44937,"울산광역시 울주군 언양읍 내곡능골길 93-20, 139동 104호 (양우내안애 더퍼스트 아파트)",.00,20210413,,,,,,01,영업\/정상,01,영업,392293.462749979    ,233469.286289969    ,20210413105716,일반미용업,,35.5856482,129.1201148
284,3730000,2021373016230200204,08_26_04_P,I,2021-04-15 00:22:57,통신판매업,산밑소담,,울산광역시 울주군 청량읍 율리 978,44959,"울산광역시 울주군 청량읍 율리영해1길 150-1, 1층",,20210413,,,,,,01,영업\/정상,01,정상영업,402168.070016003    ,227805.31709282     ,20210413175303,건강\/식품,,35.5257808,129.2422156
285,3730000,2021373016230200202,08_26_04_P,I,2021-04-15 00:22:57,통신판매업,코무드,,울산광역시 울주군 청량읍 상남리 산 1124-5,44990,울산광역시 울주군 청량읍 성남길 91-8,,20210413,,,,,,01,영업\/정상,01,정상영업,408974.283255       ,221476.246369       ,20210413170216,종합몰,,35.4710325,129.3007146
286,3730000,2021373016230200201,08_26_04_P,I,2021-04-15 00:22:57,통신판매업,이븐(even),,울산광역시 울주군 언양읍 서부리 355-4,44945,"울산광역시 울주군 언양읍 방천3길 15, 2층 202호",,20210413,,,,,,01,영업\/정상,01,정상영업,391736.288304081    ,231630.157105128    ,20210413145230,의류\/패션\/잡화\/뷰티,,35.5662375,129.115374
829,3690000,2021369015230200198,08_26_04_P,I,2021-04-15 00:22:57,통신판매업,주식회사 휘더코,,울산광역시 중구 성남동 313-1 리버팰리스,44532,"울산광역시 중구 학성로 22, 301호 (성남동, 리버팰리스)",,20210413,,,,,,01,영업\/정상,01,정상영업,409763.404099134    ,230593.387324081    ,20210413182217,교육\/도서\/완구\/오락,052-244-8001,35.5529037,129.3139977
830,3690000,2021369015230200197,08_26_04_P,I,2021-04-15 00:22:57,통신판매업,파인코스트,,울산광역시 중구 다운동 768 다운아파트,44404,"울산광역시 중구 다운6길 16, 상가동 2층 17호 (다운동, 다운아파트)",,20210413,,,,,,01,영업\/정상,01,정상영업,405569.161359223    ,231835.253562695    ,20210413142709,종합몰,,35.5646515,129.2686128
831,3690000,2021369015230200195,08_26_04_P,I,2021-04-15 00:22:57,통신판매업,맞춤형화장품 울산협동조합,,울산광역시 중구 우정동 283-2,44467,"울산광역시 중구 장춘로 16, 1층 102호 (우정동)",,20210413,,,,,,01,영업\/정상,01,정상영업,409492.99357703     ,230887.662925087    ,20210413111016,의류\/패션\/잡화\/뷰티,,35.5556405,129.3111738
832,3690000,2021369015230200193,08_26_04_P,I,2021-04-15 00:22:57,통신판매업,아워니즈,,울산광역시 중구 동동 636-1 우주빌라,44486,"울산광역시 중구 병영8길 38-1, A동 102호 (동동, 우주빌라)",,20210413,,,,,,01,영업\/정상,01,정상영업,412678.489390272    ,233053.39120207     ,20210413102153,종합몰,,35.5744611,129.3468468
901,3690000,2021369015205600019,11_43_02_P,I,2021-04-15 00:22:57,담배소매업,지에스(GS)25 약사더샵점,,울산광역시 중구 약사동 1108 약사더샵,44473,"울산광역시 중구 약사로 20, 상가층 104호 (약사동, 약사더샵)",,20210413,,,,,,01,영업\/정상,0,정상영업,411815.392798308    ,232368.310676292    ,20210413094455,,,35.56859,129.3370853
974,3700000,PHMB220213700018082200001,01_02_01_P,I,2021-04-15 00:22:57,안경업,무판안경원 야음수암점,,울산광역시 남구 야음동 719-2,44755,"울산광역시 남구 중앙로 28, 1층 (야음동)",,20210413,,,,,,01,영업\/정상,13,영업중,410240.352264227    ,227408.350384767    ,20210413202701,,,35.5241452,129.3185421
1005,3720000,3720000-105-2021-00004,07_21_02_P,I,2021-04-15 00:22:57,집단급식소,좋은아이병원,683480,울산광역시 북구 상안동 357-11 지상8층 ,44209,"울산광역시 북구 아진로 31, 지상8층 (상안동)",.00,20210413,,,,,,01,영업\/정상,01,영업,412266.469268118    ,239228.14326456     ,20210413162835,병원,052 700 7007,35.6302274,129.3396055
1060,3700000,3700000-134-2021-00071,07_22_03_P,I,2021-04-15 00:22:57,건강기능식품일반판매업,빛나는 인생,680829,울산광역시 남구 신정동 770-54 ,44730,"울산광역시 남구 중앙로 129, 401호 (신정동)",,20210413,,,,,,01,영업\/정상,01,영업,409872.611009348    ,228343.902887204    ,20210413132335,,,35.5326297,129.3147026
1079,3730000,3730000-134-2021-00022,07_22_03_P,I,2021-04-15 00:22:57,건강기능식품일반판매업,다니꺼,,울산광역시 울주군 삼남읍 교동리 1678 영남알프스타운아파트 ,44953,"울산광역시 울주군 삼남읍 작괘들길 41, 116동 1404호 (영남알프스타운아파트)",,20210413,,,,,,01,영업\/정상,01,영업,390958              ,229144              ,20210413152139,,,35.5448448,129.106075
1198,3700000,3700000-107-2021-00131,07_22_19_P,I,2021-04-15 00:22:57,즉석판매제조가공업,(주)팜덕,680746,"울산광역시 남구 삼산동 1480-1 롯데백화점, 울산고속버스터미널 ",44719,"울산광역시 남구 삼산로 288, 롯데백화점, 울산고속버스터미널 지하1층 (삼산동)",,20210413,,,,,,01,영업\/정상,01,영업,412001.966655452    ,229039.563308072    ,20210413153313,즉석판매제조가공업,,35.5383725,129.3382442
1199,3700000,3700000-107-2021-00130,07_22_19_P,I,2021-04-15 00:22:57,즉석판매제조가공업,농촌사랑(주),680815,울산광역시 남구 삼산동 1646 울산점 EMART ,44716,"울산광역시 남구 남중로 48, 울산점 EMART 1층 (삼산동)",,20210413,,,,,,01,영업\/정상,01,영업,412914.802999794    ,229015.430064688    ,20210413115928,즉석판매제조가공업,,35.537956,129.3483323
